Axial load,Potentiometer reading
31.0448,48.0696
31.0478,48.0678
31.0509,48.0660
31.0539,48.0642
31.0569,48.0624
31.0599,48.0606
31.0629,48.0588
31.0659,48.0570
31.0689,48.0552
31.0718,48.0533
31.0748,48.0515
31.0778,48.0497
31.0807,48.0479
31.0837,48.0461
31.0866,48.0443
31.0895,48.0425
31.0925,48.0407
31.0954,48.0389
31.0983,48.0371
31.1012,48.0353
31.1041,48.0335
31.1070,48.0317
31.1098,48.0299
31.1127,48.0281
31.1156,48.0263
31.1184,48.0245
31.1213,48.0227
31.1241,48.0209
31.1269,48.0191
31.1298,48.0173
31.1326,48.0155
31.1354,48.0137
31.1382,48.0119
31.1410,48.0101
31.1438,48.0083
31.1466,48.0065
31.1494,48.0047
31.1521,48.0028
31.1549,48.0010
31.1577,47.9992
31.1604,47.9974
31.1632,47.9956
31.1659,47.9938
31.1686,47.9920
31.1714,47.9902
31.1741,47.9884
31.1768,47.9866
31.1795,47.9848
31.1822,47.9830
31.1849,47.9812
31.1876,47.9794
31.1903,47.9776
31.1929,47.9758
31.1956,47.9740
31.1983,47.9722
31.2009,47.9704
31.2036,47.9686
31.2062,47.9668
31.2088,47.9650
31.2115,47.9632
31.2141,47.9614
31.2167,47.9596
31.2193,47.9578
31.2219,47.9560
31.2245,47.9542
31.2271,47.9523
31.2297,47.9505
31.2323,47.9487
31.2348,47.9469
31.2374,47.9451
31.2400,47.9433
31.2425,47.9415
31.2451,47.9397
31.2476,47.9379
31.2501,47.9361
31.2527,47.9343
31.2552,47.9325
31.2577,47.9307
31.2602,47.9289
31.2627,47.9271
31.2652,47.9253
31.2677,47.9235
31.2702,47.9217
31.2727,47.9199
31.2752,47.9181
31.2777,47.9163
31.2801,47.9145
31.2826,47.9127
31.2850,47.9109
31.2875,47.9091
31.2899,47.9073
31.2924,47.9055
31.2948,47.9037
31.2972,47.9018
31.2997,47.9000
31.3021,47.8982
31.3045,47.8964
31.3069,47.8946
31.3093,47.8928
31.3117,47.8910
31.3141,47.8892
31.3165,47.8874
31.3188,47.8856
31.3212,47.8838
31.3236,47.8820
31.3259,47.8802
31.3283,47.8784
31.3306,47.8766
31.3330,47.8748
31.3353,47.8730
31.3377,47.8712
31.3400,47.8694
31.3423,47.8676
31.3446,47.8658
31.3469,47.8640
31.3492,47.8622
31.3515,47.8604
31.3538,47.8586
31.3561,47.8568
31.3584,47.8550
31.3607,47.8532
31.3630,47.8513
31.3653,47.8495
31.3675,47.8477
31.3698,47.8459
31.3720,47.8441
31.3743,47.8423
31.3765,47.8405
31.3788,47.8387
31.3810,47.8369
31.3833,47.8351
31.3855,47.8333
31.3877,47.8315
31.3899,47.8297
31.3921,47.8279
31.3944,47.8261
31.3966,47.8243
31.3988,47.8225
31.4009,47.8207
31.4031,47.8189
31.4053,47.8171
31.4075,47.8153
